,Date Created,Number of Likes,Source of Tweet,Tweet
0,2022-10-29 07:08:42+00:00,26392,Twitter for iPhone,"@amasad Good point. 

Being able to select which version of Twitter you want is probably better, much as it would b… https://t.co/pUOL8obxwd"
1,2022-10-29 06:10:15+00:00,37777,Twitter for iPhone,@BillyM2k 🎯
2,2022-10-29 04:34:43+00:00,74206,Twitter for iPhone,@WholeMarsBlog One of the best trolls ever 🤣🤣
3,2022-10-29 02:19:54+00:00,31253,Twitter for iPhone,@cosminDZS Something like this makes sense
4,2022-10-29 00:21:49+00:00,49118,Twitter for iPhone,@greg16676935420 Ace reporting by @cnbc 🤣🤣
5,2022-10-29 00:14:33+00:00,167758,Twitter for iPhone,"To be super clear, we have not yet made any changes to Twitter’s content moderation policies https://t.co/k4guTsXOIu"
6,2022-10-29 00:11:43+00:00,5562,Twitter for iPhone,@BillyM2k 🤣💯
7,2022-10-28 23:13:20+00:00,8538,Twitter for iPhone,@Rainmaker1973 Sorry about that. Fixing as fast as possible!
8,2022-10-28 23:06:32+00:00,16181,Twitter for iPhone,@westcoastbill 🤣
9,2022-10-28 22:49:12+00:00,15033,Twitter for iPhone,@EvaFoxU 🤣🤣
10,2022-10-28 21:33:03+00:00,492124,Twitter for iPhone,Ligma Johnson had it coming 🍆 💦 https://t.co/CgjrOV5eM2
11,2022-10-28 21:21:33+00:00,103183,Twitter for iPhone,@MikhailaFuller @jordanbpeterson Anyone suspended for minor &amp; dubious reasons will be freed from Twitter jail
12,2022-10-28 21:16:42+00:00,1765685,Twitter for iPhone,Comedy is now legal on Twitter
13,2022-10-28 21:03:05+00:00,0,Twitter for iPhone,"RT @Tesla: Solar + Powerwall ensures you never lose power, even if the grid goes down

🎥 @jeremyjudkins_ https://t.co/rZXpyTtnmb"
14,2022-10-28 19:10:55+00:00,38002,Twitter for iPhone,@RpsAgainstTrump Ye’s account was restored by Twitter before the acquisition. They did not consult with or inform me.
15,2022-10-28 18:18:55+00:00,539024,Twitter for iPhone,"Twitter will be forming a content moderation council with widely diverse viewpoints. 

No major content decisions o… https://t.co/GOOTQOLYdq"
16,2022-10-28 18:10:58+00:00,28656,Twitter for iPhone,@slashdot !
17,2022-10-28 18:09:54+00:00,18365,Twitter for iPhone,@skorusARK Cool!
18,2022-10-28 13:08:13+00:00,75340,Twitter for iPhone,@WeAreCanProud First I’ve heard
