,Date Created,Number of Likes,Source of Tweet,Tweet
0,2022-10-19 21:31:50+00:00,8,Twitter for iPhone,@nojumper 😂😂
1,2022-10-19 18:48:12+00:00,209,Twitter for iPhone,@elonmusk same.
2,2022-10-19 14:15:02+00:00,17,Twitter for iPhone,@KirbySentIt What was going on there? 👀
3,2022-10-18 14:50:56+00:00,43,Twitter for iPhone,"Nice interview @shervin aka Shervinator. Sadly, the chaos around the world comes down to a weak US right now. https://t.co/vXB3SQbg6R"
4,2022-10-18 12:59:36+00:00,49,Twitter for iPhone,https://t.co/Zwmxe3armU
5,2022-10-17 20:59:10+00:00,0,Twitter for iPhone,"RT @danawhite: .@PetrYanUFC vs @SugaSeanMMA is LIVE SATURDAY on @ESPNPlus PPV at 2pmET! #UFC280
@VisitAbuDhabi @InAbuDhabi #InAbuDhabi http…"
6,2022-10-17 20:52:17+00:00,24,Twitter for iPhone,@rumblevideo @stevewilldoit can’t wait.
7,2022-10-17 14:21:49+00:00,92,Twitter for iPhone,I love having @BradleyMartyn on the @fullsendpodcast. He has helped turn up the quality of the show with Kyle and S… https://t.co/dJuwNg42U0
8,2022-10-17 12:35:09+00:00,10,Twitter for iPhone,@BigM33sh Yes
9,2022-10-16 14:59:58+00:00,0,Twitter for iPhone,RT @happydad: Fully stocked up at @pavilions for the 🏈 games. https://t.co/8VCMXJU02n
10,2022-10-15 14:44:07+00:00,158,Twitter for iPhone,YouTube Shorts can take out TikTok. 🏹
11,2022-10-14 13:45:29+00:00,0,Twitter for iPhone,RT @happydad: . @TotalWine carries the Happy Dad single flavor packs 🔥 https://t.co/aF6kAuONFO
12,2022-10-13 02:57:48+00:00,347,Twitter for iPhone,@elonmusk Don’t forget me when you become rich and famous.
13,2022-10-12 14:05:27+00:00,51,Twitter for iPhone,926 @metacard holders in this Twitter Community. 🔥 https://t.co/emrCYLBso2
14,2022-10-11 20:46:46+00:00,0,Twitter for iPhone,RT @shervin: Their names are Ahsan Nahid &amp; Shahriar Nahid (far right). They are the courageous Uncles of my best friends @john @sammy. They…
15,2022-10-11 20:25:26+00:00,3,Twitter for iPhone,@AdamSchefter 🤦🏻‍♂️
16,2022-10-11 12:09:30+00:00,75,Twitter for iPhone,Every creator will own a product in the upcoming years. Some will own it with their audience. https://t.co/1h8gEhp30m
17,2022-10-11 12:07:44+00:00,0,Twitter for iPhone,RT @happydad: Welcome to the Happy Dad family @druski. https://t.co/6tr7yAzWx3
18,2022-10-11 11:53:32+00:00,30,Twitter for iPhone,@BoredJerky 🤤
19,2022-10-11 03:47:34+00:00,2,Twitter for iPhone,@AMCAPE5 Steve will be live on there very soon.
20,2022-10-11 01:30:55+00:00,71,Twitter for iPhone,@ELON_GOATTOKEN @RickNizzoli @happydad @nelkboys @sammy @KyleForgeard Wow
21,2022-10-10 15:16:55+00:00,115,Twitter Web App,"Once Twitter fixes video, there will be no better social network than Twitter."
22,2022-10-10 14:28:51+00:00,6,Twitter for iPhone,@jackoooomate_ @BoredJerky @metacard @KyleForgeard 💡
23,2022-10-10 13:39:39+00:00,2,Twitter for iPhone,@crockpot_xyz @druski @happydad 🔥🔥
24,2022-10-10 12:27:57+00:00,10,Twitter for iPhone,@jackoooomate_ @druski @happydad @metacard I am on that bruh
25,2022-10-10 12:21:28+00:00,109,Twitter for iPhone,Welcome @druski to the @happydad team. With Druski comes an A+ team that I’m happy to call partners now. https://t.co/5tzq5IffIA
26,2022-10-09 16:11:57+00:00,1,Twitter for iPhone,@sgmpodcst nobody turns on Elon.
27,2022-10-09 14:21:11+00:00,120,Twitter for iPhone,https://t.co/KEgPOQlZGb
28,2022-10-09 13:50:42+00:00,18,Twitter for iPhone,420 members in our new Twitter Community… @metacard holders only. Come join. https://t.co/emrCYLkpm2 https://t.co/VkiGqV5EpB
29,2022-10-09 04:25:09+00:00,0,Twitter for iPhone,RT @kanyewest: https://t.co/u3aDXus8So
30,2022-10-09 02:18:08+00:00,10,Twitter for iPhone,@NoahKara Hopefully sooner
31,2022-10-08 23:20:55+00:00,87,Twitter for iPhone,Happy 4:20 pm.
